institution,rank_2025,cycle,party,committee_type,total
American,91,2008,DEM,H,5250.0
American,91,2008,DEM,S,7400.0
American,91,2008,DEM,Y,46588.0
American,91,2008,REP,Y,1300.0
American,91,2012,DEM,H,9450.0
American,91,2012,DEM,S,11400.0
American,91,2012,DEM,Y,16584.0
American,91,2012,REP,H,250.0
American,91,2016,DEM,H,81170.0
American,91,2016,DEM,P,10197.0
American,91,2016,DEM,S,35525.0
American,91,2016,DEM,Y,82433.0
American,91,2016,REP,H,5200.0
American,91,2016,REP,P,150.0
American,91,2016,REP,S,1500.0
American,91,2016,REP,Y,100.0
American,91,2020,DEM,H,70534.0
American,91,2020,DEM,P,30622.0
American,91,2020,DEM,S,83835.0
American,91,2020,DEM,Y,92570.0
American,91,2020,REP,H,1750.0
American,91,2020,REP,S,11100.0
American,91,2020,REP,Y,300.0
Arizona,109,2008,DEM,H,16750.0
Arizona,109,2008,DEM,S,3010.0
Arizona,109,2008,DEM,Y,5041.0
Arizona,109,2008,REP,Y,3912.0
Arizona,109,2012,DEM,H,2950.0
Arizona,109,2012,DEM,S,2450.0
Arizona,109,2012,DEM,Y,6570.0
Arizona,109,2012,REP,H,500.0
Arizona,109,2012,REP,S,1250.0
Arizona,109,2012,REP,Y,4959.0
Arizona,109,2016,DEM,H,1425.0
Arizona,109,2016,DEM,P,13289.0
Arizona,109,2016,DEM,S,9558.0
Arizona,109,2016,DEM,Y,19551.0
Arizona,109,2016,REP,P,450.0
Arizona,109,2016,REP,Y,731.0
Arizona,109,2020,DEM,H,13571.0
Arizona,109,2020,DEM,P,23730.0
Arizona,109,2020,DEM,S,211308.0
Arizona,109,2020,DEM,Y,22224.0
Arizona,109,2020,REP,H,100.0
Arizona,109,2020,REP,Y,1085.0
Arizona St,121,2008,DEM,H,21400.0
Arizona St,121,2008,DEM,S,16819.0
Arizona St,121,2008,DEM,Y,256216.0
Arizona St,121,2008,REP,H,26550.0
Arizona St,121,2008,REP,S,17750.0
Arizona St,121,2008,REP,Y,77170.0
Arizona St,121,2012,DEM,H,32222.0
Arizona St,121,2012,DEM,S,71050.0
Arizona St,121,2012,DEM,Y,89775.0
Arizona St,121,2012,REP,H,34200.0
Arizona St,121,2012,REP,P,8585.0
Arizona St,121,2012,REP,S,33500.0
Arizona St,121,2012,REP,Y,150195.0
Arizona St,121,2016,DEM,H,43495.0
Arizona St,121,2016,DEM,P,43273.0
Arizona St,121,2016,DEM,S,58013.0
Arizona St,121,2016,DEM,Y,78404.0
Arizona St,121,2016,REP,H,49725.0
Arizona St,121,2016,REP,P,26726.0
Arizona St,121,2016,REP,S,42368.0
Arizona St,121,2016,REP,Y,90473.0
Arizona St,121,2020,DEM,H,137020.0
Arizona St,121,2020,DEM,P,124287.0
Arizona St,121,2020,DEM,S,344035.0
Arizona St,121,2020,DEM,Y,151917.0
Arizona St,121,2020,REP,H,86811.0
Arizona St,121,2020,REP,S,109757.0
Arizona St,121,2020,REP,Y,125538.0
Auburn,105,2008,DEM,Y,716.0
Auburn,105,2008,REP,H,750.0
Auburn,105,2008,REP,Y,1550.0
Auburn,105,2012,DEM,Y,200.0
Auburn,105,2012,REP,H,750.0
Auburn,105,2012,REP,P,700.0
Auburn,105,2016,DEM,P,403.0
Auburn,105,2016,DEM,Y,2916.0
Auburn,105,2016,REP,H,500.0
Auburn,105,2016,REP,P,1625.0
Auburn,105,2016,REP,Y,1227.0
Auburn,105,2020,DEM,H,4080.0
Auburn,105,2020,DEM,P,6055.0
Auburn,105,2020,DEM,S,27977.0
Auburn,105,2020,DEM,Y,8450.0
Auburn,105,2020,REP,H,275.0
Auburn,105,2020,REP,S,22510.0
Auburn,105,2020,REP,Y,1652.0
Baylor,91,2008,REP,S,250.0
Baylor,91,2008,REP,Y,1740.0
Baylor,91,2012,DEM,H,500.0
Baylor,91,2012,DEM,Y,1300.0
Baylor,91,2012,REP,H,500.0
Baylor,91,2012,REP,S,2250.0
Baylor,91,2012,REP,Y,900.0
Baylor,91,2016,DEM,H,1000.0
Baylor,91,2016,DEM,P,1018.0
Baylor,91,2016,DEM,S,500.0
Baylor,91,2016,DEM,Y,3304.0
Baylor,91,2016,REP,H,1500.0
Baylor,91,2016,REP,P,9301.0
Baylor,91,2016,REP,S,30795.0
Baylor,91,2016,REP,Y,765.0
Baylor,91,2020,DEM,H,3932.0
Baylor,91,2020,DEM,P,1877.0
Baylor,91,2020,DEM,S,6262.0
Baylor,91,2020,DEM,Y,2850.0
Baylor,91,2020,REP,H,6000.0
Baylor,91,2020,REP,S,1205.0
Baylor,91,2020,REP,Y,4997.0
Binghamton,73,2008,REP,S,4600.0
Binghamton,73,2008,REP,Y,250.0
Binghamton,73,2012,DEM,H,250.0
Binghamton,73,2012,DEM,S,500.0
Binghamton,73,2012,DEM,Y,360.0
Binghamton,73,2016,DEM,P,3651.0
Binghamton,73,2016,DEM,S,50.0
Binghamton,73,2016,DEM,Y,2685.0
Binghamton,73,2016,REP,P,937.0
Binghamton,73,2016,REP,S,100.0
Binghamton,73,2020,DEM,H,793.0
Binghamton,73,2020,DEM,P,12221.0
Binghamton,73,2020,DEM,S,1433.0
Binghamton,73,2020,DEM,Y,6619.0
Binghamton,73,2020,REP,Y,1190.0
Boston College,37,2008,DEM,H,250.0
Boston College,37,2008,DEM,S,3550.0
Boston College,37,2008,DEM,Y,7067.0
Boston College,37,2012,DEM,H,3000.0
Boston College,37,2012,DEM,S,20900.0
Boston College,37,2012,DEM,Y,10052.0
Boston College,37,2012,REP,H,2500.0
Boston College,37,2012,REP,S,250.0
Boston College,37,2016,DEM,H,1750.0
Boston College,37,2016,DEM,P,7677.0
Boston College,37,2016,DEM,S,6150.0
Boston College,37,2016,DEM,Y,26442.0
Boston College,37,2016,REP,P,275.0
Boston College,37,2016,REP,Y,500.0
Boston College,37,2020,DEM,H,5812.0
Boston College,37,2020,DEM,P,25497.0
Boston College,37,2020,DEM,S,59602.0
Boston College,37,2020,DEM,Y,30263.0
Boston College,37,2020,REP,H,1000.0
Boston College,37,2020,REP,P,250.0
Boston College,37,2020,REP,S,2250.0
Boston College,37,2020,REP,Y,952.0
Boston Univ,41,2008,DEM,H,7900.0
Boston Univ,41,2008,DEM,S,1000.0
Boston Univ,41,2008,DEM,Y,33444.0
Boston Univ,41,2008,REP,S,2300.0
Boston Univ,41,2008,REP,Y,4451.0
Boston Univ,41,2012,DEM,H,13800.0
Boston Univ,41,2012,DEM,S,84050.0
Boston Univ,41,2012,DEM,Y,42153.0
Boston Univ,41,2012,REP,Y,1500.0
Boston Univ,41,2016,DEM,H,26450.0
Boston Univ,41,2016,DEM,P,29011.0
Boston Univ,41,2016,DEM,S,46163.0
Boston Univ,41,2016,DEM,Y,47649.0
Boston Univ,41,2016,REP,P,1577.0
Boston Univ,41,2016,REP,Y,234.0
Boston Univ,41,2020,DEM,H,74444.0
Boston Univ,41,2020,DEM,P,59377.0
Boston Univ,41,2020,DEM,S,244275.0
Boston Univ,41,2020,DEM,Y,115001.0
Boston Univ,41,2020,REP,H,1260.0
Boston Univ,41,2020,REP,P,1050.0
Boston Univ,41,2020,REP,S,4100.0
Boston Univ,41,2020,REP,Y,6748.0
Brandeis,63,2008,DEM,H,650.0
Brandeis,63,2008,DEM,S,3300.0
Brandeis,63,2008,DEM,Y,1500.0
Brandeis,63,2012,DEM,H,950.0
Brandeis,63,2012,DEM,S,34400.0
Brandeis,63,2012,DEM,Y,7235.0
Brandeis,63,2016,DEM,H,2550.0
Brandeis,63,2016,DEM,P,7812.0
Brandeis,63,2016,DEM,S,5458.0
Brandeis,63,2016,DEM,Y,17675.0
Brandeis,63,2016,REP,P,300.0
Brandeis,63,2020,DEM,H,12514.0
Brandeis,63,2020,DEM,P,15987.0
Brandeis,63,2020,DEM,S,52000.0
Brandeis,63,2020,DEM,Y,27923.0
Brigham Young,109,2008,DEM,Y,10210.0
Brigham Young,109,2008,REP,Y,3325.0
Brigham Young,109,2012,DEM,Y,583.0
Brigham Young,109,2012,REP,S,4000.0
Brigham Young,109,2012,REP,Y,3080.0
Brigham Young,109,2016,DEM,P,892.0
Brigham Young,109,2016,DEM,S,5400.0
Brigham Young,109,2016,DEM,Y,560.0
Brigham Young,109,2016,REP,H,2000.0
Brigham Young,109,2016,REP,P,2735.0
Brigham Young,109,2016,REP,S,900.0
Brigham Young,109,2016,REP,Y,5307.0
Brigham Young,109,2020,DEM,H,13950.0
Brigham Young,109,2020,DEM,P,2728.0
Brigham Young,109,2020,DEM,S,3437.0
Brigham Young,109,2020,DEM,Y,2840.0
Brigham Young,109,2020,REP,H,1936.0
Brigham Young,109,2020,REP,S,700.0
Brigham Young,109,2020,REP,Y,6352.0
Brown,13,2008,DEM,H,500.0
Brown,13,2008,DEM,S,5550.0
Brown,13,2008,DEM,Y,2675.0
Brown,13,2008,REP,S,2300.0
Brown,13,2008,REP,Y,1000.0
Brown,13,2012,DEM,H,7600.0
Brown,13,2012,DEM,S,14250.0
Brown,13,2012,DEM,Y,3550.0
Brown,13,2012,REP,Y,300.0
Brown,13,2016,DEM,H,7020.0
Brown,13,2016,DEM,P,14113.0
Brown,13,2016,DEM,S,9803.0
Brown,13,2016,DEM,Y,28778.0
Brown,13,2016,REP,P,2875.0
Brown,13,2016,REP,Y,1037.0
Brown,13,2020,DEM,H,22174.0
Brown,13,2020,DEM,P,47129.0
Brown,13,2020,DEM,S,54162.0
Brown,13,2020,DEM,Y,43326.0
Brown,13,2020,REP,H,600.0
Brown,13,2020,REP,S,250.0
Brown,13,2020,REP,Y,10000.0
CUNY City College,121,2008,DEM,H,1300.0
CUNY City College,121,2012,DEM,H,750.0
CUNY City College,121,2012,DEM,S,750.0
CUNY City College,121,2012,DEM,Y,1400.0
CUNY City College,121,2016,DEM,H,2700.0
CUNY City College,121,2016,DEM,P,1428.0
CUNY City College,121,2016,DEM,S,1050.0
CUNY City College,121,2016,DEM,Y,452.0
CUNY City College,121,2020,DEM,H,1417.0
CUNY City College,121,2020,DEM,P,2674.0
CUNY City College,121,2020,DEM,S,20045.0
CUNY City College,121,2020,DEM,Y,6200.0
CUNY City College,121,2020,REP,Y,200.0
Cal St Fullerton,136,2008,DEM,H,1000.0
Cal St Fullerton,136,2008,DEM,Y,250.0
Cal St Fullerton,136,2016,DEM,H,250.0
Cal St Fullerton,136,2016,DEM,P,234.0
Cal St Fullerton,136,2016,DEM,Y,838.0
Cal St Fullerton,136,2020,DEM,H,1990.0
Cal St Fullerton,136,2020,DEM,P,4522.0
Cal St Fullerton,136,2020,DEM,S,2200.0
Cal St Fullerton,136,2020,DEM,Y,5367.0
Cal St Fullerton,136,2020,REP,H,302.0
Cal St Long Beach,109,2008,DEM,Y,300.0
Cal St Long Beach,109,2012,DEM,H,1000.0
Cal St Long Beach,109,2012,DEM,S,527.0
Cal St Long Beach,109,2016,DEM,P,955.0
Cal St Long Beach,109,2016,DEM,Y,497.0
Cal St Long Beach,109,2016,REP,P,225.0
Cal St Long Beach,109,2020,DEM,P,2264.0
Cal St Long Beach,109,2020,DEM,S,900.0
Cal St Long Beach,109,2020,DEM,Y,1585.0
Caltech,6,2008,DEM,H,10950.0
Caltech,6,2008,DEM,S,500.0
Caltech,6,2008,DEM,Y,2000.0
Caltech,6,2008,REP,Y,500.0
Caltech,6,2012,DEM,H,6250.0
Caltech,6,2012,DEM,S,3650.0
Caltech,6,2012,DEM,Y,6100.0
Caltech,6,2016,DEM,H,5650.0
Caltech,6,2016,DEM,P,6563.0
Caltech,6,2016,DEM,S,5672.0
Caltech,6,2016,DEM,Y,12386.0
Caltech,6,2016,REP,P,1812.0
Caltech,6,2016,REP,Y,295.0
Caltech,6,2020,DEM,H,29165.0
Caltech,6,2020,DEM,P,12615.0
Caltech,6,2020,DEM,S,72383.0
Caltech,6,2020,DEM,Y,28289.0
Caltech,6,2020,REP,H,250.0
Caltech,6,2020,REP,S,950.0
Caltech,6,2020,REP,Y,2187.0
Carnegie Mellon,21,2008,DEM,H,250.0
Carnegie Mellon,21,2008,DEM,Y,6850.0
Carnegie Mellon,21,2008,REP,Y,250.0
Carnegie Mellon,21,2012,DEM,H,950.0
Carnegie Mellon,21,2012,DEM,S,4200.0
Carnegie Mellon,21,2012,DEM,Y,11679.0
Carnegie Mellon,21,2012,REP,P,1000.0
Carnegie Mellon,21,2016,DEM,H,2100.0
Carnegie Mellon,21,2016,DEM,P,10258.0
Carnegie Mellon,21,2016,DEM,S,6555.0
Carnegie Mellon,21,2016,DEM,Y,18229.0
Carnegie Mellon,21,2016,REP,P,400.0
Carnegie Mellon,21,2016,REP,S,165.0
Carnegie Mellon,21,2016,REP,Y,201.0
Carnegie Mellon,21,2020,DEM,H,12821.0
Carnegie Mellon,21,2020,DEM,P,32898.0
Carnegie Mellon,21,2020,DEM,S,61022.0
Carnegie Mellon,21,2020,DEM,Y,29067.0
Carnegie Mellon,21,2020,REP,H,1500.0
Carnegie Mellon,21,2020,REP,Y,101.0
Case Western,51,2008,DEM,H,250.0
Case Western,51,2008,DEM,S,500.0
Case Western,51,2008,DEM,Y,3300.0
Case Western,51,2008,REP,Y,1380.0
Case Western,51,2012,DEM,H,1000.0
Case Western,51,2012,DEM,S,500.0
Case Western,51,2012,DEM,Y,950.0
Case Western,51,2012,REP,S,250.0
Case Western,51,2012,REP,Y,220.0
Case Western,51,2016,DEM,H,1300.0
Case Western,51,2016,DEM,P,2651.0
Case Western,51,2016,DEM,S,550.0
Case Western,51,2016,DEM,Y,15977.0
Case Western,51,2016,REP,Y,510.0
Case Western,51,2020,DEM,H,3900.0
Case Western,51,2020,DEM,P,8633.0
Case Western,51,2020,DEM,S,22033.0
Case Western,51,2020,DEM,Y,15346.0
Case Western,51,2020,REP,S,2905.0
Case Western,51,2020,REP,Y,176.0
Chapman,121,2008,REP,H,2000.0
Chapman,121,2008,REP,Y,2585.0
Chapman,121,2012,DEM,S,400.0
Chapman,121,2012,REP,H,1750.0
Chapman,121,2012,REP,P,1500.0
Chapman,121,2012,REP,S,250.0
Chapman,121,2012,REP,Y,2000.0
Chapman,121,2016,DEM,H,1500.0
Chapman,121,2016,DEM,P,1740.0
Chapman,121,2016,DEM,S,6675.0
Chapman,121,2016,DEM,Y,1440.0
Chapman,121,2016,REP,H,5900.0
Chapman,121,2016,REP,P,5317.0
Chapman,121,2016,REP,S,1025.0
Chapman,121,2016,REP,Y,720.0
Chapman,121,2020,DEM,H,1240.0
Chapman,121,2020,DEM,P,3717.0
Chapman,121,2020,DEM,S,8300.0
Chapman,121,2020,DEM,Y,21422.0
Chapman,121,2020,REP,H,2500.0
Chapman,121,2020,REP,Y,6445.0
Chicago,11,2008,DEM,H,38551.0
Chicago,11,2008,DEM,S,30475.0
Chicago,11,2008,DEM,Y,14342.0
Chicago,11,2008,REP,H,250.0
Chicago,11,2008,REP,Y,7452.0
Chicago,11,2012,DEM,H,77131.0
Chicago,11,2012,DEM,S,14100.0
Chicago,11,2012,DEM,Y,32093.0
Chicago,11,2012,REP,S,500.0
Chicago,11,2012,REP,Y,3250.0
Chicago,11,2016,DEM,H,66611.0
Chicago,11,2016,DEM,P,33862.0
Chicago,11,2016,DEM,S,24622.0
Chicago,11,2016,DEM,Y,24289.0
Chicago,11,2016,REP,H,3200.0
Chicago,11,2016,REP,P,5038.0
Chicago,11,2016,REP,Y,205.0
Chicago,11,2020,DEM,H,132419.0
Chicago,11,2020,DEM,P,110137.0
Chicago,11,2020,DEM,S,207512.0
Chicago,11,2020,DEM,Y,151694.0
Chicago,11,2020,REP,S,2831.0
Chicago,11,2020,REP,Y,8806.0
Clark,132,2008,DEM,H,500.0
Clark,132,2008,DEM,Y,625.0
Clark,132,2012,DEM,H,250.0
Clark,132,2012,DEM,S,2300.0
Clark,132,2012,DEM,Y,500.0
Clark,132,2016,DEM,H,200.0
Clark,132,2016,DEM,P,4695.0
Clark,132,2016,DEM,S,1100.0
Clark,132,2016,DEM,Y,784.0
Clark,132,2020,DEM,H,1744.0
Clark,132,2020,DEM,P,8216.0
Clark,132,2020,DEM,S,34345.0
Clark,132,2020,DEM,Y,50180.0
Clarkson,152,2008,DEM,H,500.0
Clarkson,152,2008,REP,Y,201.0
Clarkson,152,2012,DEM,H,500.0
Clarkson,152,2012,DEM,S,250.0
Clarkson,152,2012,REP,H,1000.0
Clarkson,152,2016,DEM,P,729.0
Clarkson,152,2016,DEM,Y,400.0
Clarkson,152,2016,REP,H,300.0
Clarkson,152,2016,REP,P,145.0
Clarkson,152,2020,DEM,P,277.0
Clarkson,152,2020,DEM,S,100.0
Clarkson,152,2020,DEM,Y,150.0
Clarkson,152,2020,REP,H,350.0
Clarkson,152,2020,REP,S,300.0
Clemson,80,2008,DEM,S,2250.0
Clemson,80,2008,DEM,Y,2400.0
Clemson,80,2008,REP,Y,200.0
Clemson,80,2012,DEM,H,500.0
Clemson,80,2012,DEM,S,1050.0
Clemson,80,2012,DEM,Y,1950.0
Clemson,80,2012,REP,Y,500.0
Clemson,80,2016,DEM,H,974.0
Clemson,80,2016,DEM,P,2761.0
Clemson,80,2016,DEM,Y,2462.0
Clemson,80,2016,REP,S,500.0
Clemson,80,2016,REP,Y,763.0
Clemson,80,2020,DEM,H,1900.0
Clemson,80,2020,DEM,P,5206.0
Clemson,80,2020,DEM,S,16591.0
Clemson,80,2020,DEM,Y,94442.0
Clemson,80,2020,REP,H,259.0
Clemson,80,2020,REP,S,5252.0
Clemson,80,2020,REP,Y,2966.0
Col School of Mines,76,2008,DEM,Y,800.0
Col School of Mines,76,2016,DEM,P,1670.0
Col School of Mines,76,2016,DEM,S,1500.0
Col School of Mines,76,2016,DEM,Y,894.0
Col School of Mines,76,2016,REP,P,450.0
Col School of Mines,76,2020,DEM,H,10.0
Col School of Mines,76,2020,DEM,P,3103.0
Col School of Mines,76,2020,DEM,S,3873.0
Col School of Mines,76,2020,DEM,Y,2047.0
Col School of Mines,76,2020,REP,S,1000.0
Col School of Mines,76,2020,REP,Y,747.0
Colorado,98,2008,DEM,Y,3050.0
Colorado,98,2012,DEM,H,1000.0
Colorado,98,2012,DEM,S,250.0
Colorado,98,2012,DEM,Y,850.0
Colorado,98,2012,REP,Y,250.0
Colorado,98,2016,DEM,H,250.0
Colorado,98,2016,DEM,P,10060.0
Colorado,98,2016,DEM,S,4030.0
Colorado,98,2016,DEM,Y,8951.0
Colorado,98,2016,REP,P,2700.0
Colorado,98,2020,DEM,H,2708.0
Colorado,98,2020,DEM,P,18375.0
Colorado,98,2020,DEM,S,23609.0
Colorado,98,2020,DEM,Y,11299.0
Colorado,98,2020,REP,H,50.0
Colorado St,148,2008,DEM,Y,4808.0
Colorado St,148,2012,DEM,S,1200.0
Colorado St,148,2012,DEM,Y,3712.0
Colorado St,148,2012,REP,P,750.0
Colorado St,148,2016,DEM,P,7350.0
Colorado St,148,2016,DEM,S,9575.0
Colorado St,148,2016,DEM,Y,11898.0
Colorado St,148,2016,REP,P,665.0
Colorado St,148,2016,REP,Y,500.0
Colorado St,148,2020,DEM,H,3883.0
Colorado St,148,2020,DEM,P,16171.0
Colorado St,148,2020,DEM,S,28262.0
Colorado St,148,2020,DEM,Y,13752.0
Colorado St,148,2020,REP,H,425.0
Colorado St,148,2020,REP,S,1652.0
Colorado St,148,2020,REP,Y,1916.0
Columbia,13,2008,DEM,H,25753.0
Columbia,13,2008,DEM,S,21050.0
Columbia,13,2008,DEM,Y,69449.0
Columbia,13,2008,REP,H,3250.0
Columbia,13,2008,REP,S,2000.0
Columbia,13,2008,REP,Y,26200.0
Columbia,13,2012,DEM,H,45450.0
Columbia,13,2012,DEM,S,78000.0
Columbia,13,2012,DEM,Y,115374.0
Columbia,13,2012,REP,H,1750.0
Columbia,13,2012,REP,S,2500.0
Columbia,13,2012,REP,Y,4200.0
Columbia,13,2016,DEM,H,57033.0
Columbia,13,2016,DEM,P,56503.0
Columbia,13,2016,DEM,S,101924.0
Columbia,13,2016,DEM,Y,157083.0
Columbia,13,2016,REP,H,5750.0
Columbia,13,2016,REP,P,5700.0
Columbia,13,2016,REP,S,1250.0
Columbia,13,2016,REP,Y,4375.0
Columbia,13,2020,DEM,H,150822.0
Columbia,13,2020,DEM,P,134901.0
Columbia,13,2020,DEM,S,385758.0
Columbia,13,2020,DEM,Y,312965.0
Columbia,13,2020,REP,H,3850.0
Columbia,13,2020,REP,P,750.0
Columbia,13,2020,REP,S,9100.0
Columbia,13,2020,REP,Y,8665.0
Connecticut,70,2008,DEM,H,4850.0
Connecticut,70,2008,DEM,Y,6150.0
Connecticut,70,2008,REP,Y,550.0
Connecticut,70,2012,DEM,H,4800.0
Connecticut,70,2012,DEM,S,37153.0
Connecticut,70,2012,DEM,Y,18750.0
Connecticut,70,2012,REP,Y,250.0
Connecticut,70,2016,DEM,H,2450.0
Connecticut,70,2016,DEM,P,7361.0
Connecticut,70,2016,DEM,S,12420.0
Connecticut,70,2016,DEM,Y,7677.0
Connecticut,70,2016,REP,P,286.0
Connecticut,70,2016,REP,Y,250.0
Connecticut,70,2020,DEM,H,4605.0
Connecticut,70,2020,DEM,P,15751.0
Connecticut,70,2020,DEM,S,39657.0
Connecticut,70,2020,DEM,Y,35919.0
Connecticut,70,2020,REP,H,175.0
Connecticut,70,2020,REP,S,1435.0
Connecticut,70,2020,REP,Y,3884.0
Cornell,11,2008,DEM,H,6700.0
Cornell,11,2008,DEM,S,2830.0
Cornell,11,2008,DEM,Y,36623.0
Cornell,11,2008,REP,H,500.0
Cornell,11,2008,REP,Y,1550.0
Cornell,11,2012,DEM,H,17900.0
Cornell,11,2012,DEM,S,17900.0
Cornell,11,2012,DEM,Y,48473.0
Cornell,11,2012,REP,H,250.0
Cornell,11,2016,DEM,H,8407.0
Cornell,11,2016,DEM,P,38770.0
Cornell,11,2016,DEM,S,13743.0
Cornell,11,2016,DEM,Y,63147.0
Cornell,11,2016,REP,P,85.0
Cornell,11,2016,REP,Y,150.0
Cornell,11,2020,DEM,H,21135.0
Cornell,11,2020,DEM,P,51395.0
Cornell,11,2020,DEM,S,130496.0
Cornell,11,2020,DEM,Y,125217.0
Cornell,11,2020,REP,H,801.0
Cornell,11,2020,REP,S,705.0
Cornell,11,2020,REP,Y,2576.0
Creighton,121,2008,DEM,Y,750.0
Creighton,121,2008,REP,Y,500.0
Creighton,121,2012,DEM,S,750.0
Creighton,121,2012,DEM,Y,2174.0
Creighton,121,2012,REP,S,3500.0
Creighton,121,2012,REP,Y,1120.0
Creighton,121,2016,DEM,H,50.0
Creighton,121,2016,DEM,P,835.0
Creighton,121,2016,DEM,Y,1530.0
Creighton,121,2016,REP,H,2400.0
Creighton,121,2016,REP,Y,2540.0
Creighton,121,2020,DEM,P,1367.0
Creighton,121,2020,DEM,S,3106.0
Creighton,121,2020,DEM,Y,1887.0
Creighton,121,2020,REP,H,28509.0
Creighton,121,2020,REP,S,135.0
Creighton,121,2020,REP,Y,2937.0
Dartmouth,15,2008,DEM,H,2300.0
Dartmouth,15,2008,DEM,Y,5763.0
Dartmouth,15,2008,REP,Y,1000.0
Dartmouth,15,2012,DEM,H,18200.0
Dartmouth,15,2012,DEM,S,250.0
Dartmouth,15,2012,DEM,Y,8782.0
Dartmouth,15,2012,REP,H,2000.0
Dartmouth,15,2012,REP,S,1000.0
Dartmouth,15,2016,DEM,H,29416.0
Dartmouth,15,2016,DEM,P,29931.0
Dartmouth,15,2016,DEM,S,45555.0
Dartmouth,15,2016,DEM,Y,21633.0
Dartmouth,15,2016,REP,P,3900.0
Dartmouth,15,2020,DEM,H,26044.0
Dartmouth,15,2020,DEM,P,23764.0
Dartmouth,15,2020,DEM,S,88725.0
Dartmouth,15,2020,DEM,Y,33443.0
Dartmouth,15,2020,REP,H,225.0
Dartmouth,15,2020,REP,P,85.0
Dartmouth,15,2020,REP,S,100.0
Dartmouth,15,2020,REP,Y,611.0
Dayton,136,2008,DEM,Y,500.0
Dayton,136,2008,REP,H,1250.0
Dayton,136,2008,REP,Y,500.0
Dayton,136,2012,DEM,H,250.0
Dayton,136,2012,DEM,Y,500.0
Dayton,136,2016,DEM,P,923.0
Dayton,136,2016,DEM,Y,2307.0
Dayton,136,2016,REP,P,110.0
Dayton,136,2016,REP,Y,2350.0
Dayton,136,2020,DEM,P,2548.0
Dayton,136,2020,DEM,S,9095.0
Dayton,136,2020,DEM,Y,10047.0
Dayton,136,2020,REP,H,1750.0
Dayton,136,2020,REP,S,50.0
Dayton,136,2020,REP,Y,500.0
Delaware,86,2008,DEM,S,1200.0
Delaware,86,2008,DEM,Y,4300.0
Delaware,86,2008,REP,Y,2350.0
Delaware,86,2012,DEM,H,6550.0
Delaware,86,2012,DEM,S,7950.0
Delaware,86,2012,DEM,Y,5250.0
Delaware,86,2012,REP,Y,1000.0
